"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Django HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\ExplorePostCard.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 0, 0, 9, 54, 218
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\FollowingSuggestionCard.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 13, 67
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\HamSettingsCard.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\HamburgerMenu.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\HighlightCircle.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\HomepagePostCard.jsx", "JavaScript JSX", 0, 0, 251, 0, 0, 0, 0, 12, 61, 324
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\IconSidebar.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\MessageCard.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\MobileFooter.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\MobileIcons.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\PostCard.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\PostType.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\ProfileIconCard.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\ProfilePermissions.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\ProfileSettingsCard.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\RecommendedFollowingcard.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\ReelCard.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\SavedCard.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\StoryCircle.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\StoryContainer.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 3, 16, 63
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\components\TagCard.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\index.css", "PostCSS", 0, 0, 0, 8, 0, 0, 0, 36, 3, 47
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\CaptionSharePage.jsx", "JavaScript JSX", 0, 0, 169, 0, 0, 0, 0, 3, 53, 225
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\ConfirmationPage.jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 0, 4, 36, 129
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\CreatePostPage.jsx", "JavaScript JSX", 0, 0, 106, 0, 0, 0, 0, 1, 26, 133
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\CropImagePage.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 6, 38, 212
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\DobPage.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 4, 29, 133
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\EditProfilePage.jsx", "JavaScript JSX", 0, 0, 270, 0, 0, 0, 0, 14, 69, 353
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\ExplorePage.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 0, 0, 0, 20, 97
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\FollowingSetupPage.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 12, 66
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\ForgotPasswordPage.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 28, 95
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 1, 32, 114
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 6, 27, 153
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\LogoutPage.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\MessagesPage.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 3, 37, 166
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\SelectImagePage.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 22, 72
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\SignupPage.jsx", "JavaScript JSX", 0, 0, 159, 0, 0, 0, 0, 7, 29, 195
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\pages\UserProfilePage.jsx", "JavaScript JSX", 0, 0, 197, 0, 0, 0, 0, 8, 46, 251
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\router\router.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 3, 13, 59
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\src\utils\cropImage.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 15, 67
"c:\Users\Adarsh pattanayak\Desktop\Instagram Clone\frontend\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 1220, 5772, 3248, 29, 14, 1, 7, 194, 1277, 11762
